1	25	213.9	206.3	34	32791.9551	5.7836	1.0000	29.5479
2	24	219.9	193.5	47	32353.6361	5.4603	0.5222	32.1259
3	25	213.9	183.9	34	26919.2611	3.8706	0.5182	32.1474
4	1	223.0	199.9	38	65145.7252	12.2175	0.4984	32.2544
5	1	231.4	197.8	41	64789.1532	13.5562	0.4908	32.2956
6	10	227.2	192.7	41	41215.8494	7.6303	0.4899	32.3002
7	5	224.8	197.7	39	45949.1986	10.2491	0.4893	32.3037
8	7	234.5	199.4	35	37094.3599	7.2880	0.4883	32.3090
9	16	223.1	182.5	44	30194.6346	5.3633	0.4837	32.3340
10	11	219.8	189.9	40	41356.9473	7.5974	0.4818	32.3442
11	13	223.4	192.1	37	31431.3817	5.4217	0.4816	32.3453
12	17	223.9	184.8	47	31338.2270	4.9858	0.4798	32.3548
13	12	226.9	196.1	39	33777.6079	5.9232	0.4791	32.3587
14	2	235.1	215.5	40	47398.9162	8.3305	0.4764	32.3732
15	19	211.9	176.1	35	29272.9868	4.9971	0.4643	32.4385
16	4	226.6	187.8	42	44018.2449	8.5799	0.4636	32.4425
17	1	229.5	194.4	35	58463.3074	10.2846	0.4631	32.4448
18	8	222.4	189.0	39	38627.4502	7.3642	0.4605	32.4589
19	8	225.7	189.2	45	39165.0268	8.0922	0.4515	32.5078
20	25	213.9	0.0	34	20730.9571	2.6366	0.0000	34.9438
